prediction,ground_truth
-0.058469467,-0.04563838
-0.08306051,0.085830994
-0.058945283,0.15841264
-0.050984822,-0.08807059
-0.13444114,-0.2515737
-0.16730392,0.23083857
-0.00923861,0.1738479
-0.02711046,-0.16335665
-0.095776886,0.4649855
0.09791219,0.031798333
-0.015638033,-0.026186356
-0.019897295,-0.16650507
-0.15013883,-0.21671404
-0.1552464,-0.29019034
-0.14640026,-0.35322052
-0.1802929,-0.2607209
-0.23559538,-0.347714
-0.16206709,-0.307403
-0.21296495,-0.39326465
-0.269907,-0.47624278
-0.30865985,-0.5181385
-0.33091986,-0.2851407
-0.28146183,-0.05536402
-0.19082925,-0.30262452
-0.25206542,-0.4183905
-0.29562113,-0.30762807
-0.27883235,-0.43698385
-0.31522858,0.3075137
-0.03870216,-0.15676656
-0.19551563,-0.26927593
-0.22068843,-0.07609806
-0.16208066,0.2969484
0.018670587,-0.065247186
-0.1524166,-0.27825433
-0.2179997,-0.33654118
-0.2659051,-0.31381747
-0.14009255,-0.20798214
-0.20274028,0.035775285
-0.12827674,-0.23781012
-0.20215514,-0.39204976
-0.18119419,-0.11610604
-0.1695525,-0.3080092
-0.2402417,-0.2619125
-0.24872541,-0.29917747
-0.26770952,-0.059302732
-0.16923931,-0.22079091
-0.18778628,0.023340814
-0.12955016,-0.27628613
-0.23646477,-0.42653137
-0.26576027,-0.14697537
-0.21805927,-0.3504037
-0.26344156,-0.04128007
-0.17586714,0.42066693
0.05142074,0.18628226
-0.034065112,0.15716194
-0.030455356,0.030137883
-0.09923011,-0.18743782
-0.15037501,-0.11785113
-0.1394181,0.26385844
-0.0014076699,-0.09615813
-0.12242535,-0.2716438
-0.09439453,-0.25328442
-0.13837844,-0.22918467
-0.121032104,-0.18240026
-0.15705991,-0.33978125
-0.25397152,-0.42452514
-0.2839188,-0.32584944
-0.19554397,-0.26716974
-0.23327547,-0.4036127
-0.2960738,-0.49058107
-0.32131252,-0.54138917
-0.3398562,-0.30009186
-0.28235728,-0.40666875
-0.31509757,-0.5047462
-0.3356719,-0.50489515
-0.34117708,-0.32839483
-0.29647505,-0.29839802
-0.28538948,-0.4002692
-0.31113374,-0.25599167
-0.27158818,-0.44440788
-0.31697187,0.0003207537
-0.17260516,-0.16030982
-0.20958774,-0.3376949
-0.2658895,-0.2950851
-0.26671278,-0.31389448
-0.26678902,-0.23727798
-0.25054812,0.108499356
-0.10599291,0.23802455
-0.04204858,0.18174736
-0.029205663,0.001865996
-0.11169371,0.36847246
0.043563306,0.17261489
-0.014161484,-0.024208503
-0.0966809,-0.21518537
-0.17744625,-0.35289413
-0.15925755,-0.0031911293
-0.03084618,0.10607421
0.011593981,0.35459596
0.063759945,0.20977637
0.07759888,0.35379484
0.12591264,0.34401095
0.09191332,0.062306754
-0.034981534,0.036624316
-0.06812868,-0.19811453
-0.12288433,-0.21815415
-0.10027167,-0.08365065
-0.042466216,0.083308056
0.011205407,0.49624544
0.19508418,0.45063913
0.19452801,0.06357245
-0.019856231,-0.1610581
-0.09992984,0.2185046
0.022918751,0.08089394
-0.028262524,-0.11042628
-0.12039247,-0.04562648
-0.08906947,0.014631112
0.03209339,-0.028396739
0.018126437,-0.17226644
-0.11857507,-0.31325212
-0.2190746,-0.3543202
-0.18189208,-0.036516782
-0.09429796,-0.24589777
-0.20479378,0.0058245086
-0.1207151,0.20827349
-0.013757015,0.24022414
0.016168429,0.033505153
-0.09882684,-0.16954887
-0.1722776,0.090068854
-0.07583094,0.039968576
-0.058337517,0.15134874
-0.03979063,-0.14710438
-0.14065216,0.06074224
-0.0012434255,0.20969313
0.076657705,0.22029996
0.04952672,0.179403
-0.024700237,0.19423816
0.033118434,0.46894607
0.15939316,0.3194949
0.13079739,0.3647101
0.0904499,0.03249511
-0.017325183,0.15796661
0.08423902,0.022709552
0.024357194,-0.117621236
-0.03761404,-0.026736239
-0.03521032,-0.15176277
-0.027345682,-0.26597053
-0.09594477,-0.13071167
-0.072355635,0.14196095
-0.011260511,-0.15381303
-0.10468531,-0.33355471
-0.19724596,-0.28618023
-0.23124176,-0.3193121
-0.21751094,-0.2855743
-0.24279553,-0.28345838
-0.25959873,-0.40696844
-0.28779054,0.036906917
-0.0882374,0.20295064
-0.034447722,-0.11571968
-0.16981044,-0.34798786
-0.24726775,-0.3431844
-0.26421726,-0.4112528
-0.27640855,-0.44657546
-0.30804497,0.06837606
-0.14365204,-0.1269169
-0.15458316,0.15430732
0.00014051236,-0.029542865
-0.121310875,0.25939858
-0.009239482,-0.07047087
-0.14895807,-0.31568897
-0.20849049,-0.41080973
-0.28221434,-0.34873134
-0.210639,0.16894725
-0.04905931,-0.122445725
-0.11210513,-0.08040679
-0.1338039,-0.06755214
-0.080065496,0.22469328
0.017567573,-0.13556407
-0.16391706,-0.34510154
-0.2381323,-0.22130348
-0.22882694,0.15452468
0.018693076,0.31292808
0.02871236,-0.06616835
-0.13020547,-0.09046687
-0.13649179,0.28147715
0.09304468,0.05189755
-0.04016103,-0.18949066
-0.1744591,-0.32138816
-0.23246515,0.17032851
0.027562326,0.1476881
0.064127736,0.13133088
-0.03215085,-0.10883118
-0.1442604,0.05156587
0.010753794,-0.22216006
-0.11745103,-0.26406974
-0.18966015,-0.091786146
-0.17388701,-0.30716106
-0.16502655,-0.059650887
-0.096772194,-0.2656846
-0.16959113,-0.21232964
-0.19165598,-0.32738286
-0.22587144,0.030286502
-0.12661695,-0.27389866
-0.23360077,-0.101999804
-0.16506632,-0.25181553
-0.2326779,-0.37096423
-0.24609807,-0.18026374
-0.22646987,-0.3368008
-0.26171038,-0.40531397
-0.29674703,-0.4261194
-0.28269607,-0.12691283
-0.2129427,0.30712047
-0.0020225141,-0.07272378
-0.15272492,-0.25256065
-0.21543698,-0.28959075
-0.23977005,-0.11930801
-0.16544941,-0.30464014
-0.24916273,-0.40083572
-0.29358274,-0.1617426
-0.21656254,-0.36662054
-0.18135858,0.110086866
-0.07846758,-0.19825193
-0.19677015,-0.01826115
-0.14476775,-0.19870311
-0.19390237,-0.10361461
-0.16158375,-0.3167186
-0.25668496,-0.41568357
-0.2733981,-0.2040193
-0.24377257,-0.38949424
-0.23943412,-0.23794761
-0.23999798,-0.3090948
-0.24752161,0.0063058
-0.14259511,0.10470059
-0.08001315,0.079226375
-0.0977539,-0.20283662
-0.20302221,-0.31756586
-0.2308622,-0.12969612
-0.18530148,-0.3399281
-0.24448079,-0.15852866
-0.21282592,-0.33915943
-0.24499637,0.20171002
0.00010528974,-0.09232588
-0.111650825,-0.22048846
-0.19179365,-0.3167567
-0.25587294,-0.25463587
-0.2076161,-0.12578191
-0.19412616,-0.31655574
-0.24822453,-0.2286436
-0.23804638,-0.34572113
-0.20929822,-0.024596278
-0.13718694,-0.18995692
-0.20187137,-0.3651637
-0.26820317,-0.39053485
-0.29056796,-0.25436875
-0.24027398,-0.0602479
-0.18051632,0.14304182
-0.07897257,-0.125591
-0.17811432,-0.34932575
-0.23010409,-0.25355852
-0.22825718,0.26961422
-0.012231266,-0.13544151
-0.17564136,-0.1997853
-0.19923867,0.39880353
0.04410948,0.15637974
0.04672811,0.20682399
-0.007624591,0.17225789
-0.045676723,-0.1571556
-0.1336425,-0.21704648
-0.08013146,-0.337846
-0.20756766,-0.40919426
-0.25418514,-0.08628851
-0.08188574,-0.032001164
-0.06632823,-0.08902718
-0.09361035,0.33947536
0.07731401,-0.07259703
-0.12783793,0.06405736
-0.08114,-0.2038099
-0.19233364,-0.3612369
-0.22658879,-0.4261441
-0.27367663,-0.1064075
-0.15651628,-0.15268825
-0.18150945,0.11141705
0.003826784,0.13412875
-0.044540033,-0.19659248
-0.14237076,-0.20985116
-0.1922276,-0.36365217
-0.2554378,-0.07053395
-0.16544938,-0.24823695
-0.21875098,0.005265977
-0.13220538,-0.08640362
-0.120324,0.1750773
0.016250262,0.17329288
-0.04072,-0.13517626
-0.15281871,-0.22549447
-0.20205157,-0.29299843
-0.20476183,-0.38859066
-0.25570562,-0.22714469
-0.20948523,0.021891095
-0.11711177,-0.21238568
-0.14225122,-0.3818811
-0.19958293,0.022945726
-0.12901132,-0.09439227
-0.1509084,0.070945114
-0.10727696,-0.00011744564
-0.13817784,-0.24440688
-0.20029193,0.11122555
-0.052327313,-0.15823963
-0.1562196,-0.33020285
-0.23225844,-0.44252595
-0.26877928,-0.4974573
